repo_id,username,robot_type,total_episodes,total_frames,fps,camera_keys,num_cameras,video_keys,has_video,total_tasks,tasks,is_sim,is_eval,features,chunks_size,total_chunks,version
koenvanwijk/orange50-variation-2,koenvanwijk,so100,50,7091,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Orange in box""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
FeiYjf/new_GtoR,FeiYjf,so100,378,126369,30.0,"observation.images.left,observation.images.right",2,"observation.images.left,observation.images.right",True,1,"{""0"": ""new_GtoR""}",False,False,"action,observation.state,observation.images.left,observation.images.right,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
CSCSXX/pick_place_cube_1.18,CSCSXX,so100,50,16491,30.0,"observation.images.top,observation.images.side",2,"observation.images.top,observation.images.side",True,1,"{""0"": ""pick-place-cube""}",False,False,"action,observation.state,observation.images.top,observation.images.side,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
vladfatu/so100_office,vladfatu,so100,50,29880,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grab red object and place it in the box""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
dragon-95/so100_sorting,dragon-95,so100,61,95346,50.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Put the object in box A into box B""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
dragon-95/so100_sorting_1,dragon-95,so100,50,56929,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Put the object in box A into box B""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
nbaron99/so100_pick_and_place4,nbaron99,so100,100,29591,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""pick""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
Beegbrain/pick_place_green_block,Beegbrain,so100,40,17250,30.0,"observation.images.realsense_side,observation.images.realsense_top",2,"observation.images.realsense_side,observation.images.realsense_top",True,1,"{""0"": ""pick the green block and place it in the red cup""}",False,False,"action,observation.state,observation.images.realsense_side,observation.images.realsense_top,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
Ityl/so100_recording2,Ityl,so100,45,13634,30.0,"observation.images.realsense_side,observation.images.realsense_top",2,"observation.images.realsense_side,observation.images.realsense_top",True,1,"{""0"": ""Puttingg red block on blue one""}",False,False,"action,observation.state,observation.images.realsense_side,observation.images.realsense_top,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
dragon-95/so100_sorting_2,dragon-95,so100,220,169922,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Put the object in box A into box B""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
dragon-95/so100_sorting_3,dragon-95,so100,200,95183,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Put the object in box A into box B""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
aractingi/push_cube_offline_data,aractingi,so100,30,7892,30.0,"observation.images.front,observation.images.wrist",2,"observation.images.front,observation.images.wrist",True,1,"{""0"": ""Push the green cube to the yellow sticker""}",False,False,"next.reward,next.done,action,observation.state,observation.images.front,observation.images.wrist,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
HITHY/so100_peach3,HITHY,so100,100,26634,30.0,observation.images.laptop,1,observation.images.laptop,True,1,"{""0"": ""Grasp a peach and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
HITHY/so100_peach4,HITHY,so100,400,98409,30.0,observation.images.laptop,1,observation.images.laptop,True,1,"{""0"": ""Grasp a peach and put it on the plate.""}",False,False,"action,observation.state,observation.images.laptop,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
shreyasgite/so100_legocube_50,shreyasgite,so100,50,20758,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
shreyasgite/so100_base_env,shreyasgite,so100,252,98999,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a lego block and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
triton7777/so100_dataset_mix,triton7777,so100,65,66189,30.0,"observation.images.s_left,observation.images.s_right,observation.images.gripper,observation.images.top",4,"observation.images.s_left,observation.images.s_right,observation.images.gripper,observation.images.top",True,7,"{""0"": ""pick black tape and place inside white tape"", ""1"": ""pick gift miniatures and put it in black box"", ""2"": ""sort mixed objects"", ""3"": ""put pens in holder"", ""4"": ""put pens bottles and suitable items in the pen holder as suits"", ""5"": ""put oranges in yellow basket"", ""6"": ""stack plates and cup""}",False,False,"action,observation.state,observation.images.s_left,observation.images.s_right,observation.images.gripper,observation.images.top,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
Deason11/Open_the_drawer_to_place_items,Deason11,so100,87,70951,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Open_the_drawer_to_place_items.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
Deason11/PLACE_TAPE_PUSH_DRAWER,Deason11,so100,66,67407,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""PLACE_TAPE_PUSH_DRAWER.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
NONHUMAN-RESEARCH/SOARM100_TASK_VENDA,NONHUMAN-RESEARCH,so100,150,76045,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": """"}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
mikechambers/block_cup_14,mikechambers,so100,50,22400,30.0,"observation.images.main_cam,observation.images.secondary_cam",2,"observation.images.main_cam,observation.images.secondary_cam",True,1,"{""0"": ""Grasp a block and put it in a cup.""}",False,False,"action,observation.state,observation.images.main_cam,observation.images.secondary_cam,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
samsam0510/tooth_extraction_3,samsam0510,so100,100,32879,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Extract the tooth.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
samsam0510/tooth_extraction_4,samsam0510,so100,200,76053,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Extract the molar""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
samsam0510/cube_reorientation_2,samsam0510,so100,182,115586,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Reorient the cube.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
samsam0510/cube_reorientation_4,samsam0510,so100,100,56785,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Reorient the cube.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
samsam0510/glove_reorientation_1,samsam0510,so100,100,30943,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Reorient the glove.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
DorayakiLin/so100_pick_charger_on_tissue,DorayakiLin,so100,50,25539,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Pick up the charger and put it on the white tissue.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1
zijian2022/noticehuman3,zijian2022,so100,40,11960,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Notice human.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1
liuhuanjim013/so100_th,liuhuanjim013,so100,74,37220,30.0,"observation.images.top,observation.images.front",2,"observation.images.top,observation.images.front",True,1,"{""0"": ""Grasp a lego figure and put it in the box.""}",False,False,"action,observation.state,observation.images.top,observation.images.front,timestamp,frame_index,episode_index,index,task_index",1000,1,2.0
Bartm3/tape_to_bin,Bartm3,so100,52,18593,30.0,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Grasp a tape and put it in the bin.""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,2.1
